Time [s],Value,Parity Error,Framing Error
3.551770720000000,0x6E,,
3.551856960000000,0x73,,
3.551943360000000,0x65,,
3.552029760000000,0x71,,
3.552116160000000,0x75,,
3.552202560000000,0x61,,
3.552288960000000,0x74,,
3.552375360000000,0x2E,,
3.552461760000000,0x20,,
3.552548160000000,0x0A,,
3.552634400000000,0x44,,
3.552720960000000,0x75,,
3.552807520000000,0x69,,
3.552894080000000,0x73,,
3.552980800000000,0x20,,
3.553067360000000,0x61,,
3.553153760000000,0x75,,
3.553240160000000,0x74,,
3.553326560000000,0x65,,
3.553413120000000,0x20,,
3.553499520000000,0x69,,
3.553585920000000,0x72,,
3.553672480000000,0x75,,
3.553758880000000,0x72,,
3.553845280000000,0x65,,
3.553931680000000,0x20,,
3.554018240000000,0x64,,
3.554104800000000,0x6F,,
3.554191360000000,0x6C,,
3.554277920000000,0x6F,,
3.554364480000000,0x72,,
3.554450880000000,0x0F,,
3.559344160000000,0x01,,
3.559430880000000,0x03,,
3.559517440000000,0xFC,,
3.559604160000000,0x20,,
3.559690720000000,0x69,,
3.559777440000000,0x6E,,
3.559864160000000,0x20,,
3.559950720000000,0x72,,
3.560037280000000,0x65,,
3.560124000000000,0x70,,
3.560210720000000,0x72,,
3.560297280000000,0x65,,
3.560384000000000,0x68,,
3.560470560000000,0x65,,
3.560557280000000,0x6E,,
3.560644000000000,0x64,,
3.560730560000000,0x65,,
3.560817280000000,0x72,,
3.560903840000000,0x69,,
3.560990560000000,0x74,,
3.561077120000000,0x20,,
3.561163680000000,0x69,,
3.561250400000000,0x6E,,
3.561336960000000,0x20,,
3.561423520000000,0x76,,
3.561510240000000,0x6F,,
3.561596800000000,0x6C,,
3.561683360000000,0x75,,
3.561770080000000,0x70,,
3.561856640000000,0x74,,
3.561943200000000,0x61,,
3.562029760000000,0x74,,
3.562116320000000,0x65,,
3.562202880000000,0x20,,
3.562289600000000,0x76,,
3.562376320000000,0x65,,
3.562463040000000,0x6C,,
3.562549600000000,0x69,,
3.562636160000000,0x74,,
3.562722880000000,0x20,,
3.562809440000000,0x65,,
3.562896000000000,0x73,,
3.562982720000000,0x73,,
3.563069440000000,0x65,,
3.563156160000000,0x20,,
3.563242880000000,0x63,,
3.563329600000000,0x69,,
3.563416160000000,0x6C,,
3.563502880000000,0x6C,,
3.563589440000000,0x75,,
3.563676160000000,0x6D,,
3.563762880000000,0x20,,
3.563849280000000,0x64,,
3.563935680000000,0x6F,,
3.564022240000000,0x6C,,
3.564108800000000,0x6F,,
3.564195360000000,0x72,,
3.564281920000000,0x65,,
3.564368480000000,0x20,,
3.564455040000000,0x65,,
3.564541600000000,0x75,,
3.564628320000000,0x20,,
3.564714880000000,0x0A,,
3.564801440000000,0x66,,
3.564888160000000,0x75,,
3.564974880000000,0x67,,
3.565061600000000,0x69,,
3.565148320000000,0x61,,
3.565235200000000,0x74,,
3.565322080000000,0x20,,
3.565408960000000,0x6E,,
3.565495840000000,0x75,,
3.565582720000000,0x6C,,
3.565669440000000,0x6C,,
3.565756160000000,0x61,,
3.565842880000000,0x20,,
3.565929440000000,0x70,,
3.566016160000000,0x61,,
3.566102720000000,0x72,,
3.566189440000000,0x69,,
3.566276000000000,0x61,,
3.566362560000000,0x74,,
3.566449280000000,0x75,,
3.566535840000000,0x72,,
3.566622400000000,0x2E,,
3.566709120000000,0x20,,
3.566795680000000,0x45,,
3.566882240000000,0x78,,
3.566968800000000,0x63,,
3.567055360000000,0x65,,
3.567141920000000,0x70,,
3.567228320000000,0x74,,
3.567314880000000,0x65,,
3.567401280000000,0x75,,
3.567487680000000,0x72,,
3.567574240000000,0x20,,
3.567660640000000,0x73,,
3.567747040000000,0x69,,
3.567833600000000,0x6E,,
3.567920160000000,0x74,,
3.568006560000000,0x20,,
3.568093120000000,0x6F,,
3.568179680000000,0x63,,
3.568266240000000,0x63,,
3.568352800000000,0x61,,
3.568439200000000,0x65,,
3.568525760000000,0x63,,
3.568612320000000,0x61,,
3.568698880000000,0x74,,
3.568785280000000,0x20,,
3.568871840000000,0x63,,
3.568958400000000,0x75,,
3.569044960000000,0x70,,
3.569131360000000,0x69,,
3.569217920000000,0x64,,
3.569304480000000,0x61,,
3.569391040000000,0x74,,
3.569477760000000,0x61,,
3.569564320000000,0x74,,
3.569651040000000,0x20,,
3.569737600000000,0x6E,,
3.569824320000000,0x6F,,
3.569910880000000,0x6E,,
3.569997440000000,0x20,,
3.570084160000000,0x70,,
3.570170720000000,0x72,,
3.570257280000000,0x6F,,
3.570343840000000,0x69,,
3.570430400000000,0x64,,
3.570516960000000,0x65,,
3.570603520000000,0x6E,,
3.570689920000000,0xD9,,
3.575278880000000,0x01,,
3.575365600000000,0x04,,
3.575452320000000,0xFB,,
3.575539040000000,0x74,,
3.575625600000000,0x2C,,
3.575712320000000,0x20,,
3.575798880000000,0x73,,
3.575885600000000,0x75,,
3.575972160000000,0x6E,,
3.576058880000000,0x74,,
3.576145440000000,0x20,,
3.576232160000000,0x69,,
3.576318720000000,0x6E,,
3.576405280000000,0x20,,
3.576492000000000,0x0A,,
3.576578560000000,0x63,,
3.576665120000000,0x75,,
3.576751840000000,0x6C,,
3.576838400000000,0x70,,
3.576925120000000,0x61,,
3.577011680000000,0x20,,
3.577098240000000,0x71,,
3.577184960000000,0x75,,
3.577271520000000,0x69,,
3.577358080000000,0x20,,
3.577444640000000,0x6F,,
3.577531200000000,0x66,,
3.577617760000000,0x66,,
3.577704320000000,0x69,,
3.577790880000000,0x63,,
3.577877440000000,0x69,,
3.577964000000000,0x61,,
3.578050720000000,0x20,,
3.578137280000000,0x64,,
3.578223840000000,0x65,,
3.578310400000000,0x73,,
3.578396960000000,0x65,,
3.578483520000000,0x72,,
3.578570080000000,0x75,,
3.578656800000000,0x6E,,
